2022-07-24 10:58:20,577 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
2022-07-24 15:20:03,925 INFO  [main] com.greenrent.GreenRentApplicationTests:Starting GreenRentApplicationTests using Java 17.0.2 on DESKTOP-1U063IB with PID 1596 (started by Furkan in C:\Users\Furkan\Documents\workspace-greenrent\GreenRent)
2022-07-24 15:20:03,926 DEBUG [main] com.greenrent.GreenRentApplicationTests:Running with Spring Boot v2.6.9, Spring v5.3.21
2022-07-24 15:20:03,926 INFO  [main] com.greenrent.GreenRentApplicationTests:No active profile set, falling back to 1 default profile: "default"
2022-07-24 15:20:04,679 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-07-24 15:20:04,744 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 59 ms. Found 6 JPA repository interfaces.
2022-07-24 15:20:05,252 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
2022-07-24 15:20:05,299 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.9.Final
2022-07-24 15:20:05,338 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-07-24 15:20:05,504 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
2022-07-24 15:20:05,758 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
2022-07-24 15:20:05,770 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-07-24 15:20:06,287 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-07-24 15:20:06,293 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 15:20:07,071 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-07-24 15:20:07,396 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 15:20:07,397 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/v3/api-docs/**']
2022-07-24 15:20:07,397 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 15:20:07,397 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='swagger-ui.html']
2022-07-24 15:20:07,398 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 15:20:07,398 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/swagger-ui/**']
2022-07-24 15:20:07,398 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 15:20:07,398 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/']
2022-07-24 15:20:07,398 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='index.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 15:20:07,398 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2022-07-24 15:20:07,399 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 15:20:07,399 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2022-07-24 15:20:07,459 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6aaed880, org.springframework.security.web.context.SecurityContextPersistenceFilter@4101e146, org.springframework.security.web.header.HeaderWriterFilter@173602c0, org.springframework.security.web.authentication.logout.LogoutFilter@6ae55678, com.greenrent.security.jwt.AuthTokenFilter@68e6856c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@cd9ce76, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@493ed8e6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@9bd477c, org.springframework.security.web.session.SessionManagementFilter@36995784, org.springframework.security.web.access.ExceptionTranslationFilter@4bbabec8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@56a6aadb]
2022-07-24 15:20:08,817 INFO  [main] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 1 endpoint(s) beneath base path '/actuator'
2022-07-24 15:20:08,869 INFO  [main] com.greenrent.GreenRentApplicationTests:Started GreenRentApplicationTests in 5.205 seconds (JVM running for 6.293)
2022-07-24 15:20:08,982 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 15:20:08,983 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
2022-07-24 15:20:08,985 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
